item_no,type,x_labels,y_min_limit,y_max_limit,min,max,trend,title,x_title,y_title,intro,question,instr,correct_ans,direc,plot_path
10,E,"8PM, 9PM, 10PM, 11PM, 12AM, 1AM, 2AM",15,30,20,26,0,Night Temperatures in Riyadh in October,Time,Temperature (°C),The line graph shows the change in hourly temperatures in Riyadh during the night of an October day.,How does hourly temperature change from 8 PM to 2 AM?,Please read the question below and select the correct answer based on the illustrated graph.,2,R,Plots/plot_10_R_E.png
10,E,"8PM, 9PM, 10PM, 11PM, 12AM, 1AM, 2AM",15,30,20,26,0,Night Temperatures in Riyadh in October,Time,Temperature (°C),The line graph shows the change in hourly temperatures in Riyadh during the night of an October day.,How does hourly temperature change from 8 PM to 2 AM?,Please read the question below and select the correct answer based on the illustrated graph.,2,L,Plots/plot_10_L_E.png
11,E,"1, 5, 10, 15, 20, 25, 30",0,10,0,5,1,Body Weight Over One Month,Days,Body Weight (kg),The line graph shows the change in body weight over 30 days on a diet.,How does body weight change from the first day to Day 30?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_11_R_E.png
11,E,"1, 5, 10, 15, 20, 25, 30",0,10,0,5,1,Body Weight Over One Month,Days,Body Weight (kg),The line graph shows the change in body weight over 30 days on a diet.,How does body weight change from the first day to Day 30?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_11_L_E.png
12,E,"1, 2, 3, 4, 5, 6, 7",0,100,65,90,1,Student Passing Rate in Exams,Semester,Passing Rate (%),The line graph shows the change in student passing rate in exams across 7 academic semesters.,How does the passing rate of students change from Semester 1 to Semester 7?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_12_R_E.png
12,E,"1, 2, 3, 4, 5, 6, 7",0,100,65,90,1,Student Passing Rate in Exams,Semester,Passing Rate (%),The line graph shows the change in student passing rate in exams across 7 academic semesters.,How does the passing rate of students change from Semester 1 to Semester 7?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_12_L_E.png
13,E,"1, 2, 3, 4, 5, 6, 7",0,100,10,100,1,Learning Progress in an Online Course,Weeks,Task Completion (%),The line graph shows the change in learning progress by completing tasks throughout an online course over 7 weeks.,How does learning progress change from week 1 to week 7?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_13_R_E.png
13,E,"1, 2, 3, 4, 5, 6, 7",0,100,10,100,1,Learning Progress in an Online Course,Weeks,Task Completion (%),The line graph shows the change in learning progress by completing tasks throughout an online course over 7 weeks.,How does learning progress change from week 1 to week 7?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_13_L_E.png
14,E,"5, 10, 20, 30, 40, 50, 60",50,500,50,400,1,Calories Burned During Exercise,Minutes,Calories Burned (kcal),The line graph shows the change in calories burned over a one-hour exercise session.,How does the number of calories burned change from the first 5 minutes to the 60th minute?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_14_R_E.png
14,E,"5, 10, 20, 30, 40, 50, 60",50,500,50,400,1,Calories Burned During Exercise,Minutes,Calories Burned (kcal),The line graph shows the change in calories burned over a one-hour exercise session.,How does the number of calories burned change from the first 5 minutes to the 60th minute?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_14_L_E.png
15,E,"5AM, 7AM, 9AM, 11AM, 1PM, 3PM, 5PM",0,100,40,80,0,Phone Battery Life Over 12 Hours,Time,Battery Percentage (%),The line graph shows the change in phone battery life from early morning to evening.,How does the battery percentage change from 5 AM to 5 PM?,Please read the question below and select the correct answer based on the illustrated graph.,2,R,Plots/plot_15_R_E.png
15,E,"5AM, 7AM, 9AM, 11AM, 1PM, 3PM, 5PM",0,100,40,80,0,Phone Battery Life Over 12 Hours,Time,Battery Percentage (%),The line graph shows the change in phone battery life from early morning to evening.,How does the battery percentage change from 5 AM to 5 PM?,Please read the question below and select the correct answer based on the illustrated graph.,2,L,Plots/plot_15_L_E.png
16,E,"1, 5, 10, 15, 20, 25, 31",0,10,3,9,0,Average Temperature in December in Manchester,Days,Temperature (°C),The line graph shows the change in average temperature in Manchester during December.,How does the average temperature change from day 1 to day 31?,Please read the question below and select the correct answer based on the illustrated graph.,2,R,Plots/plot_16_R_E.png
16,E,"1, 5, 10, 15, 20, 25, 31",0,10,3,9,0,Average Temperature in December in Manchester,Days,Temperature (°C),The line graph shows the change in average temperature in Manchester during December.,How does the average temperature change from day 1 to day 31?,Please read the question below and select the correct answer based on the illustrated graph.,2,L,Plots/plot_16_L_E.png
17,E,"1, 2, 3, 4, 5, 6, 7",0,100,10,90,0,Budget Expenditure Across Project Phases,Phase,Budget Spent (£K),The line graph shows the change in budget expenditure across key project phases.,How does budget expenditure change from Phase 1 to Phase 7?,Please read the question below and select the correct answer based on the illustrated graph.,2,R,Plots/plot_17_R_E.png
17,E,"1, 2, 3, 4, 5, 6, 7",0,100,10,90,0,Budget Expenditure Across Project Phases,Phase,Budget Spent (£K),The line graph shows the change in budget expenditure across key project phases.,How does budget expenditure change from Phase 1 to Phase 7?,Please read the question below and select the correct answer based on the illustrated graph.,2,L,Plots/plot_17_L_E.png
18,E,"1, 2, 3, 4, 5, 6, 7",0,10,0,5,0,Daily Coffee Consumption Over a Week,Days,Coffee Consumption (Cups),The line graph shows the change in daily coffee consumption over a week.,How does the number of cups change from day 1 to day 7?,Please read the question below and select the correct answer based on the illustrated graph.,2,R,Plots/plot_18_R_E.png
18,E,"1, 2, 3, 4, 5, 6, 7",0,10,0,5,0,Daily Coffee Consumption Over a Week,Days,Coffee Consumption (Cups),The line graph shows the change in daily coffee consumption over a week.,How does the number of cups change from day 1 to day 7?,Please read the question below and select the correct answer based on the illustrated graph.,2,L,Plots/plot_18_L_E.png
19,E,"5AM, 7AM, 9AM, 11AM, 1PM, 3PM, 5PM",0,100,40,80,0,Humidity Level in London in November,Time,Humidity (%),The line graph shows the change in hourly humidity level in London on a typical November day.,How does hourly humidity level change from 5 AM to 5 PM?,Please read the question below and select the correct answer based on the illustrated graph.,2,R,Plots/plot_19_R_E.png
19,E,"5AM, 7AM, 9AM, 11AM, 1PM, 3PM, 5PM",0,100,40,80,0,Humidity Level in London in November,Time,Humidity (%),The line graph shows the change in hourly humidity level in London on a typical November day.,How does hourly humidity level change from 5 AM to 5 PM?,Please read the question below and select the correct answer based on the illustrated graph.,2,L,Plots/plot_19_L_E.png
20,E,"Mon, Tue, Wed, Thu, Fri, Sat, Sun",0,100,50,100,1,Active User Count in a Mobile App,Days,Active Users (Thousands),The line graph shows the change in the number of active users in a mobile app throughout the week.,How does the active user count change from the Monday to Sunday?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_20_R_E.png
20,E,"Mon, Tue, Wed, Thu, Fri, Sat, Sun",0,100,50,100,1,Active User Count in a Mobile App,Days,Active Users (Thousands),The line graph shows the change in the number of active users in a mobile app throughout the week.,How does the active user count change from the Monday to Sunday?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_20_L_E.png
21,E,"2010, 2012, 2014, 2016, 2018, 2020, 2022",1000,3000,1000,3000,1,Sales Revenue of Organic Food in the UK,Years,Sales Revenue (£ Millions),The line graph shows the change in sales revenue of organic food and drink in the UK from 2010 to 2022.,How does the sales revenue of organic food and drink change from 2010 to 2022?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_21_R_E.png
21,E,"2010, 2012, 2014, 2016, 2018, 2020, 2022",1000,3000,1000,3000,1,Sales Revenue of Organic Food in the UK,Years,Sales Revenue (£ Millions),The line graph shows the change in sales revenue of organic food and drink in the UK from 2010 to 2022.,How does the sales revenue of organic food and drink change from 2010 to 2022?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_21_L_E.png
22,E,"Mar, Apr, May, Jun, Jul, Aug, Sep",0,100,10,80,1,Task Completion Rate in a Study Group,Months,Task Completion Rate (%),The line graph shows the change in task completion rate in a study group over several months.,How does task completion rate change from March to September?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_22_R_E.png
22,E,"Mar, Apr, May, Jun, Jul, Aug, Sep",0,100,10,80,1,Task Completion Rate in a Study Group,Months,Task Completion Rate (%),The line graph shows the change in task completion rate in a study group over several months.,How does task completion rate change from March to September?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_22_L_E.png
23,E,"Mon, Tue, Wed, Thu, Fri, Sat, Sun",0,100,50,100,1,Sleep Quality Tracking Over a Week,Days,Sleep Quality Score,The line graph shows the change in sleep quality score over a week.,How does sleep quality change from Monday to Sunday?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_23_R_E.png
23,E,"Mon, Tue, Wed, Thu, Fri, Sat, Sun",0,100,50,100,1,Sleep Quality Tracking Over a Week,Days,Sleep Quality Score,The line graph shows the change in sleep quality score over a week.,How does sleep quality change from Monday to Sunday?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_23_L_E.png
24,E,"1990, 1995, 2000, 2005, 2010, 2015, 2020",0,100,50,65,1,Literacy Rate in Sub-Saharan Africa,Years,Literacy Rate (%),The line graph shows the change in literacy rate in Sub-Saharan Africa over 30 years.,How does the literacy rate change from 1990 to 2020?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_24_R_E.png
24,E,"1990, 1995, 2000, 2005, 2010, 2015, 2020",0,100,50,65,1,Literacy Rate in Sub-Saharan Africa,Years,Literacy Rate (%),The line graph shows the change in literacy rate in Sub-Saharan Africa over 30 years.,How does the literacy rate change from 1990 to 2020?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_24_L_E.png
25,E,"2010, 2011, 2012, 2013, 2014, 2015, 2016",0,100,60,95,1,University Graduation Rate Over the Years,Years,Graduation Rate (%),The line graph shows the change in university graduation rate from 2010 to 2016.,How does the graduation rate change from 2010 to 2016?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_25_R_E.png
25,E,"2010, 2011, 2012, 2013, 2014, 2015, 2016",0,100,60,95,1,University Graduation Rate Over the Years,Years,Graduation Rate (%),The line graph shows the change in university graduation rate from 2010 to 2016.,How does the graduation rate change from 2010 to 2016?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_25_L_E.png
26,E,"2010, 2012, 2014, 2016, 2018, 2019, 2020",0,60,12,30,0,Smoking Prevalence in the UK,Years,Smoking Prevalence (%),The line graph shows the change in smoking prevalence among adults in the UK from 2010 to 2020.,How does the smoking rate change from 2010 to 2020?,Please read the question below and select the correct answer based on the illustrated graph.,2,R,Plots/plot_26_R_E.png
26,E,"2010, 2012, 2014, 2016, 2018, 2019, 2020",0,60,12,30,0,Smoking Prevalence in the UK,Years,Smoking Prevalence (%),The line graph shows the change in smoking prevalence among adults in the UK from 2010 to 2020.,How does the smoking rate change from 2010 to 2020?,Please read the question below and select the correct answer based on the illustrated graph.,2,L,Plots/plot_26_L_E.png
27,E,"2005, 2007, 2009, 2011, 2013, 2015, 2017",0,5,1,5,1,Global Internet Users Over the Years,Years,Internet Users (Billions),The line graph shows the change in the number of global internet users from 2005 to 2017.,How does internet usage change from 2005 to 2017?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_27_R_E.png
27,E,"2005, 2007, 2009, 2011, 2013, 2015, 2017",0,5,1,5,1,Global Internet Users Over the Years,Years,Internet Users (Billions),The line graph shows the change in the number of global internet users from 2005 to 2017.,How does internet usage change from 2005 to 2017?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_27_L_E.png
28,E,"1, 2, 3, 4, 5, 6, 7",0,4,1,2.5,1,Subscription Count for a Travel YouTube Channel,Days,Subscription Count (Thousands),The line graph shows the change in subscription count for a travel YouTube channel over a period of 7 days,How does the count of subscription change from day 1 to day 7?,Please read the question below and select the correct answer based on the illustrated graph.,1,R,Plots/plot_28_R_E.png
28,E,"1, 2, 3, 4, 5, 6, 7",0,4,1,2.5,1,Subscription Count for a Travel YouTube Channel,Days,Subscription Count (Thousands),The line graph shows the change in subscription count for a travel YouTube channel over a period of 7 days,How does the count of subscription change from day 1 to day 7?,Please read the question below and select the correct answer based on the illustrated graph.,1,L,Plots/plot_28_L_E.png
29,F,"Jan, Mar, May, Jul, Sep, Nov, Dec",100,300,150,300,2,Gym Membership Subscriptions,Months,Number of Subscriptions,The line graph shows the change in the number of gym memberships over a year.,How does the number of gym memberships change from July to September?,Please read the question below and select the correct answer based on the illustrated graph.,3,,Plots/plot_29_F.png
30,F,"1, 5, 10, 15, 20, 25, 30",60,180,80,170,2,Heart Rate During Exercise for Non-Athletes,Minutes,Heart Rate (bpm),The line graph shows the change in heart rate for non-athletes during the first 30 minutes of exercise.,How does heart rate change from the 15th to the 20th minute of exercise?,Please read the question below and select the correct answer based on the illustrated graph.,3,,Plots/plot_30_F.png
31,F,"2010, 2011, 2012, 2013, 2014, 2015, 2016",0,100,80,100,0,Annual Employee Retention Rate,Years,Employee Retention Rate (%),The line graph shows the change in employee retention rates from 2010 to 2016.,How does the employee retention rate change from 2011 to 2012?,Please read the question below and select the correct answer based on the illustrated graph.,2,,Plots/plot_31_F.png
32,F,"2010, 2012, 2014, 2016, 2018, 2020, 2022",0,100,75,100,2,High School Graduation Rate,Years,Graduation Rate (%),The line graph shows the change in high school graduation rates from 2010 to 2022.,How does the graduation rate change from 2016 to 2018?,Please read the question below and select the correct answer based on the illustrated graph.,3,,Plots/plot_32_F.png
33,F,"Mar, Apr, May, Jun, Jul, Aug, Sep",0,100,10,60,2,Website Subscription Count Over Time,Months,Subscribed Users (Thousands),The line graph shows the change in the total number of subscribed users on a website over 7 months.,How does the number of active users change from June to July?,Please read the question below and select the correct answer based on the illustrated graph.,3,,Plots/plot_33_F.png
34,F,"1, 2, 3, 4, 5, 6, 7",0,500,100,300,2,Weekly Savings Over 7 Weeks,Weeks,Savings (£),The line graph shows the change in weekly savings over 7 weeks.,How do weekly savings change from week 4 to week 5?,Please read the question below and select the correct answer based on the illustrated graph.,3,,Plots/plot_34_F.png
35,F,"8:00, 10:00, 12:00, 13:00, 15:00, 17:00, 19:00",1,12,1,6,2,Step Counts Throughout the Day,Time,Step Count (Thousands),The line graph shows the change in step counts throughout the day.,How does the step count change from 13:00 to 15:00?,Please read the question below and select the correct answer based on the illustrated graph.,3,,Plots/plot_35_F.png
36,F,"Jan, Feb, Mar, Apr, May, Jun, Jul",250,550,250,550,0,Monthly Grocery Expenses for a Family,Months,Grocery Expenses (£),The line graph shows the change in monthly grocery expenses for family food over 7 months.,How do monthly grocery expenses change from March to April?,Please read the question below and select the correct answer based on the illustrated graph.,2,,Plots/plot_36_F.png
37,F,"1, 2, 3, 4, 5, 6, 7",0,100,10,80,0,Test Scores Across Multiple Attempts,Attempts,Test Scores,The line graph shows the change in test scores across multiple attempts.,How do test scores change from attempt 2 to attempt 3,Please read the question below and select the correct answer based on the illustrated graph.,2,,Plots/plot_37_F.png
38,F,"Sep, Oct, Nov, Dec, Jan, Feb, Mar",0,20,0,15,2,Student Absence Rate in a Secondary School,Months,Absence Rate (%),The line graph shows the change in student absence rate in a secondary school from September to March.,How does the rate of student absence change from December to January?,Please read the question below and select the correct answer based on the illustrated graph.,3,,Plots/plot_38_F.png
39,F,"8AM, 10AM, 12PM, 2PM, 4PM, 6PM, 8PM",50,180,80,120,1,Blood Pressure Levels Throughout the Day,Time,Blood Pressure (mmHg),The line graph shows the change in blood pressure levels throughout a typical day.,How does blood pressure change from 10 AM to 12 PM?,Please read the question below and select the correct answer based on the illustrated graph.,1,,Plots/plot_39_F.png
40,F,"1, 2, 3, 4, 5, 6, 7",100,500,400,500,1,Daily Visitor Count for a Shopping Website,Days,Visitor Count (Thousands),The line graph shows the change in visitor count to a shopping website over a week.,How does the visitor count change from day 2 to day 3?,Please read the question below and select the correct answer based on the illustrated graph.,1,,Plots/plot_40_F.png
41,P,"2008, 2009, 2010, 2011, 2012, 2013, 2014",5,35,18,33,1,Annual Expenditure on Children's Sports in the UK,Years,Spending (£ Millions),The line graph shows the change in average annual spending on children's sports in the UK from 2008 to 2014.,How does the spending change from 2008 to 2014?,Please read the question below and select the correct answer based on the illustrated graph.,1,,Plots/plot_41_P.png
42,P,"1, 2, 3, 4, 5, 6, 7",0,15,0,7,0,Weekly Exercise Frequency Over Several Weeks,Weeks,Exercise Frequency,The line graph shows the change in weekly exercise frequency (sessions per week) over 7 weeks.,How does exercise frequency change from week 1 to week 7?,Please read the question below and select the correct answer based on the illustrated graph.,2,,Plots/plot_42_P.png
63,i,"2011, 2013, 2015, 2017, 2019, 2021, 2023",0,100,10,85,1,Annual Wind Power Generation in the UK,Years,Electricity Generation (TWh),"The line graph shows the change in annual wind-generated electricity in the UK, measured in terawatt-hours (TWh), from 2011 to 2023.",How does annual electricity generation from wind change from 2011 to 2023?,Please read the question below and select the correct answer based on the illustrated graph.,1,,Plots/plot_63_i.png
